id,created_at,text
1337884946774585347,2020-12-12 22:20:02,"b'Universidad &amp; COVID-19: Andalucia y Moreno... Sobre la supervisi\xc3\xb3n, crisis, Castells, impacto estudiantil y deserci\xe2\x80\xa6 https://t.co/M8izBNDOwD'"
1337884944589344772,2020-12-12 22:20:02,"b'Teachers, click here to learn how you can get certified in Defined Learning . Certified educators receive a digital\xe2\x80\xa6 https://t.co/tgwLrauzf2'"
1337884889962729473,2020-12-12 22:19:49,b'RT @doctorzlai: Teaching Kids Programming - Valid Parentheses String Algorithm \n\n#algorithm #programming #python #pythonforkids #learning #\xe2\x80\xa6'
1337884889958453248,2020-12-12 22:19:49,b'RT @doctorzlai: Teaching Kids Programming - Valid Parentheses String Algorithm \n\n#algorithm #programming #python #pythonforkids #learning #\xe2\x80\xa6'
1337884889878827013,2020-12-12 22:19:49,b'RT @doctorzlai: Teaching Kids Programming - Valid Parentheses String Algorithm \n\n#algorithm #programming #python #pythonforkids #learning #\xe2\x80\xa6'
1337884861718261760,2020-12-12 22:19:42,"b'RT @SightSoundmag: The fifth of Steve McQueen\xe2\x80\x99s Small Axe films, #Education, shows how Britain taught Black boys to fail, says @NikkiBaugha\xe2\x80\xa6'"
1337884782269779968,2020-12-12 22:19:23,b'Teacher Tips: Handling a Helicopter Parent https://t.co/wCV38iRSaq #elearning #edtech #onlinelearning #education'
1337884773520470018,2020-12-12 22:19:21,"b'An old white man called Joseph Epstein not only wrote an offensive article @wsj full of #sexism, #classism,\xe2\x80\xa6 https://t.co/yjvhhjlQnL'"
1337884705019006978,2020-12-12 22:19:05,"b'As Ava struggles to uncover the mystery of the gingerbread house, the Dark Villains have sent an old enemy after Av\xe2\x80\xa6 https://t.co/bQnUvLUE8k'"
1337884653198389248,2020-12-12 22:18:52,b'RT @smdavies67: There\xe2\x80\x99s different ways to support @SeabirdCentre #conservation &amp; #education activities - one of these is to buy a voucher a\xe2\x80\xa6'
1337884648530194434,2020-12-12 22:18:51,b'RT @BruceBourgoine: This is a graceless insult to all educators on the values of their degrees smeared with a smelly dose of misogyny.\n\n#re\xe2\x80\xa6'
1337884597858734102,2020-12-12 22:18:39,b'Wake County Board of Education will discuss moving students to remote learning :: https://t.co/rVIftkrELV |\xc2\xa0\xe2\x80\xa6 https://t.co/8LtuNRQ4oQ'
1337884593035370506,2020-12-12 22:18:38,b'Wake County Board of Education will discuss moving students to remote learning :: https://t.co/iQm5Qonsan |\xc2\xa0\xe2\x80\xa6 https://t.co/KM26ch2KJQ'
1337884569115250689,2020-12-12 22:18:32,b'Hunter Biden tax probe focused on Chinese business dealings \n\nREAD MORE: https://t.co/J927GdCv2l\n\n#business\xe2\x80\xa6 https://t.co/3KyOZRaHzN'
1337884567953436672,2020-12-12 22:18:32,b'RT @BruceBourgoine: This is a graceless insult to all educators on the values of their degrees smeared with a smelly dose of misogyny.\n\n#re\xe2\x80\xa6'
1337884541525127170,2020-12-12 22:18:26,"b'RT @ProjectSomeone: @ProjectSomeone collaborator, @cslp_ceap member, director @CpnPrev and co-Chair @UNESCOPREV Ghayda Hassan advocates for\xe2\x80\xa6'"
1337884513179893761,2020-12-12 22:18:19,b'RT @JyotiSahai: #AI \xe2\x80\x9c#virtual #patient\xe2\x80\x9d technology to aid NHS medical training\n\n@msharmas @HCITExpert @MobiHealthNews \n\n#HIMSS20 #HITsmIND\xe2\x80\xa6'
1337884489683402753,2020-12-12 22:18:13,b'RT @JyotiSahai: #AI \xe2\x80\x9c#virtual #patient\xe2\x80\x9d technology to aid NHS medical training\n\n@msharmas @HCITExpert @MobiHealthNews \n\n#HIMSS20 #HITsmIND\xe2\x80\xa6'
1337884429298008064,2020-12-12 22:17:59,"b'Don\'t submit then quit. Apply for jobs like ""Substitute Teacher"" at MTC, then look for people you might know at the\xe2\x80\xa6 https://t.co/bEFG7Qrxi5'"
1337884356723929091,2020-12-12 22:17:41,b'RT @Rdene915: 6 Resources for teaching about Artificial Intelligence https://t.co/rAUx9p0Hzg via @neolms @thriveinedu #education #edchat #h\xe2\x80\xa6'
1337884356090671104,2020-12-12 22:17:41,b'RT @Rdene915: 6 Resources for teaching about Artificial Intelligence https://t.co/rAUx9p0Hzg via @neolms @thriveinedu #education #edchat #h\xe2\x80\xa6'
1337884352231985155,2020-12-12 22:17:40,"b""RT @ChogPyssame: \xf0\x9f\x87\xac\xf0\x9f\x87\xa6: Placer l'\xc3\xa9cole et  l'#\xc3\x89ducation au Centre des pr\xc3\xa9occupations \xc3\xa0 #Mayumba c'est la base de tout #D\xc3\xa9veloppement . La Pier\xe2\x80\xa6"""
1337884333256843264,2020-12-12 22:17:36,b'RT @Rdene915: 6 Resources for teaching about Artificial Intelligence https://t.co/rAUx9p0Hzg via @neolms @thriveinedu #education #edchat #h\xe2\x80\xa6'
1337884311354216448,2020-12-12 22:17:31,"b'DeVos Is on Her Way Out, But Public Education Is Still Very Much Under Attack |\xc2\xa0#Education https://t.co/h7PFl7xERH'"
1337884306639872001,2020-12-12 22:17:30,"b'DeVos Is on Her Way Out, But Public Education Is Still Very Much Under Attack |\xc2\xa0#Education https://t.co/NQI3zvqWSc'"
1337884299610238977,2020-12-12 22:17:28,"b'This innovative partnership will allow institutions and practitioners to embrace and further the diversity, equity,\xe2\x80\xa6 https://t.co/GBEu5nNCZL'"
1337884265015631874,2020-12-12 22:17:20,b'RT @doctorzlai: Teaching Kids Programming - Valid Parentheses String Algorithm \n\n#algorithm #programming #python #pythonforkids #learning #\xe2\x80\xa6'
1337884262465482756,2020-12-12 22:17:19,b'RT @doctorzlai: Teaching Kids Programming - Valid Parentheses String Algorithm \n\n#algorithm #programming #python #pythonforkids #learning #\xe2\x80\xa6'
